Ninian blend                  UK (North Sea)           0.84735.6038.0000005.600.88766.980.387
North Dakota (average)        USA                      0.81741.8027.0000003.000.88741.270.441
North Dakota (northern)       USA                      0.83338.4038.0000003.000.89845.880.412
North Rumaila                 Iraq                     0.85334.3020.0000010.600.90655.910.376
North Slope                   USA                      0.89426.8038.0000016.000.93367.410.200
Northeast Texas               USA                      0.89027.0038.0000027.000.92868.600.313
Oficina                       South America            0.84336.3038.0000004.100.90349.720.394
Ohanet                        Algeria                  0.80943.3038.0000003.800.87346.970.454
Oklahoma average              USA                      0.82639.9020.0000005.700.89145.970.421
Oman                          Oman                     0.86132.8038.0000008.900.99258.180.363
Oman Export                   Oman                     0.84336.3015.0000011.600.89556.540.289
Oriente                       Ecuador                  0.88129.2038.0000013.000.91472.900.252
Parentis                      North Sea                0.86332.5020.0000009.900.90961.350.360
Pembina                       Canada                   0.86232.7038.0000005.200.91258.100.362
Pennington                    Nigeria                  0.84236.6000.0000004.940.90150.670.347
Peruvian high cold            Peru                     0.84935.1000.0000006.670.89263.970.383
Piper                         UK (North Sea)           0.85035.0000.0000006.800.90553.840.382
Poleng                        Indonesia                0.81043.2038.0000001.800.93040.410.290
Putamayo                      Colombia                 0.85035.0038.0000004.500.90752.840.382
Qua Iboe                      Nigeria                  0.84635.8038.0000003.400.91046.570.331
Quatar (Duckhan)              Quatar                   0.82140.9027.0000005.100.88546.740.593
Quatar marine                 Quatar                   0.84835.3015.0000009.400.91853.000.393
Ragusa                        North Sea                0.93519.8038.0000277.000.95385.180.250
Rainbow L & M                 Alberta Canada           0.82240.7038.0000003.800.88745.820.339
Ratawi                        Neutral zone             0.91323.5050.0000044.000.95069.450.209
Redwater                      Canada                   0.85134.7038.0000006.200.90555.030.380
Reforma                       Mexico                   0.86033.0038.0000006.800.91057.950.228
Rio Zulia                     Colombia                 0.82340.4038.0000005.900.87259.220.429
Rocky Mountain Sweet          USA                      0.82839.3038.0000004.000.88849.730.420
Romashkinskaya                Kazakhstan               0.86332.4038.0000007.400.91259.160.290
Rostam                        Iran                     0.84535.9050.0000003.100.90054.350.390
Rumailla                      Iraq                     0.85434.1038.0000006.500.90657.030.374
Saharan blend                 Algeria                  0.79945.5020.0000003.400.89040.930.053
Salmon (Sassan)               Iran                     0.85633.9038.0000005.600.90956.100.373
Salt Pond                     Ghana                    0.83837.4000.0000004.210.89255.180.403
San Joaquin Valley            USA                      0.85334.4038.0000005.200.90853.910.377
Sarir                         Libya                    0.83338.3050.0000004.700.89358.950.411
Scurry Country                USA                      0.81642.0038.0000002.100.88542.590.443
Seeligson                     USA                      0.82340.5015.0000003.300.89638.830.152
Selmo                         Turkey                   0.85733.7038.0000007.800.90658.840.371
Sepinggam                     Indonesia                0.83537.9038.0000002.200.90640.580.241
Seria light                   Brunei                   0.83138.8038.0000001.800.95147.930.415
Sirip blend 27.1API           Iran                     0.89227.1038.0000020.400.93564.490.549
Sirri                         Iran                     0.87130.9038.0000007.400.92257.600.650
Soroosh                       Iran                     0.94618.1020.0000013.810.97278.640.020
Souedie                       Syria                    0.90524.9010.0000088.300.93971.460.294
South Louisiana               USA                      0.84037.0038.0000004.300.89355.840.400
Southwest Texas light         USA                      0.82141.0038.0000001.400.89736.760.434
Soyo blend                    Angola                   0.85733.7038.0000010.000.92644.140.371
Statfjord                     UK & Norway              0.83438.2038.0000004.400.89354.480.374
Sylvestre                     Venezuela                0.88528.4038.0000014.100.92864.160.366
Taching                       China                    0.86033.0038.0000029.000.88380.520.365
Tarakan                       Indonesia                0.94618.1038.0000026.200.97575.540.235
Tartan                        UK (North Sea)           0.81841.7004.4000011.600.88345.920.694
Tembungo                      Malaysia                 0.83837.4038.0000002.000.91039.860.193
Texas Gulf Coast heavy        USA                      0.89027.0038.0000011.000.92868.290.313
Texas Gulf Coast light        USA                      0.85035.0038.0000004.500.90553.780.382
Thistle                       UK (North Sea)           0.84037.0038.0000004.300.88760.660.517
Tia Juana                     Venezuela                0.89426.7038.0000026.000.93069.670.310
Tia Juana heavy               Venezuela                0.98512.1050.0000003.000.99890.120.183
Tia Juana light               Venezuela                0.86532.1038.0000010.400.91360.050.357
Tobias                        Angola                   0.87729.9038.0000011.000.92064.350.338
Trinidad blend                Trinidad                 0.85733.6020.0000003.700.90460.900.370
Tyumen                        Russia                   0.85534.0050.0000003.400.97556.130.412
Umm Shaif                     Abu Dhabi                0.83837.4038.0000003.800.89652.030.485
Wainwright Kinsella           Alberta Canada           0.91523.1038.0000032.500.95169.920.303
Walio Export mix              Indonesia                0.84835.4038.0000004.900.90651.530.166
West General Texas            USA                      0.82540.0038.0000001.400.88648.790.426
West Sak                      Alaska USA               0.91922.4015.0000095.500.95669.520.184
West Texas Ellenburger        USA                      0.79047.6038.0000001.800.85843.720.492
West Texas light              USA                      0.82042.0038.0000003.300.87851.780.443
West Texas sour               USA                      0.85534.0038.0000005.800.91351.380.374
Wyoming sour                  USA                      0.90524.9038.0000023.000.94864.580.294
Wyoming sour (International)  USA                      0.85035.0015.0000006.800.91744.400.382
Zaire                         Zaire                    0.86731.7038.0000021.000.90271.110.150
Zakum                         Abu Dhabi                0.82540.1038.0000002.800.91147.720.427
Zakum (lower-)                Abu Dhabi                0.82240.6020.0000004.280.94244.860.576
Zarzaitine                    Algeria                  0.81143.0000.0000001.370.87943.050.584
Zuetina                       Libya                    0.81941.3015.0000042.900.88247.550.3130

